Symbol,Nominal Coverage,Empirical Coverage,Half Width,Calibrated
ADANIENT,90%,88.9%,0.0346,No
ADANIPORTS,90%,90.6%,0.0287,No
APOLLOHOSP,90%,93.7%,0.0228,No
ASIANPAINT,90%,82.8%,0.018,No
AXISBANK,90%,87.8%,0.0219,No
BAJAJ-AUTO,90%,89.4%,0.0249,No
BAJFINANCE,90%,86.6%,0.0235,No
BHARTIARTL,90%,89.1%,0.0206,No
CIPLA,90%,89.4%,0.0219,No
DIVISLAB,90%,89.1%,0.0255,No
EICHERMOT,90%,89.1%,0.0255,No
GRASIM,90%,88.9%,0.0222,No
ICICIBANK,90%,89.6%,0.0178,No
INDUSINDBK,90%,81.5%,0.0238,No
JSWSTEEL,90%,89.6%,0.0254,No
LT,90%,88.9%,0.0226,No
NESTLEIND,90%,91.1%,0.0198,No
SUNPHARMA,90%,86.1%,0.0185,No
TATASTEEL,90%,87.7%,0.0255,No
TITAN,90%,90.4%,0.0213,No
