Symbol,Baseline Mean,Baseline Std,Threshold h,In-sample Flags,Max S+,Max S-
ADANIENT,0.001343,0.025773,5.0,4,9.432,3.876
ADANIPORTS,-0.000356,0.019698,5.0,3,6.939,5.319
APOLLOHOSP,-5e-06,0.013011,5.0,5,5.605,5.869
ASIANPAINT,0.000171,0.014043,5.0,13,7.197,7.869
AXISBANK,-0.000131,0.01463,5.0,11,5.819,7.063
BAJAJ-AUTO,0.000466,0.014859,5.0,7,7.568,6.489
BAJFINANCE,-0.00095,0.017682,5.0,4,5.771,4.585
BHARTIARTL,7.8e-05,0.013202,5.0,2,3.307,5.43
CIPLA,0.000579,0.013406,5.0,3,4.713,6.94
DIVISLAB,0.000322,0.015794,5.0,2,4.837,5.373
EICHERMOT,0.000343,0.016741,5.0,8,7.339,5.265
GRASIM,0.00026,0.014085,5.0,0,4.452,4.028
ICICIBANK,0.000401,0.01157,5.0,6,5.325,6.075
INDUSINDBK,0.000916,0.02499,5.0,15,14.643,5.543
JSWSTEEL,-0.000637,0.015567,5.0,1,6.829,3.152
LT,0.000349,0.01601,5.0,13,9.43,6.519
NESTLEIND,-0.000537,0.012445,5.0,21,6.237,8.206
SUNPHARMA,0.000559,0.012999,5.0,9,4.097,6.428
TATASTEEL,-0.000746,0.017989,5.0,4,8.695,3.138
TITAN,2.5e-05,0.014576,5.0,4,6.388,6.023
