symbol,current_label,current_state,mean_ret,std_ret,freq_pct
ADANIENT,Sideways 🟡,0,-0.00147,0.02343,87.3
ADANIPORTS,Sideways 🟡,0,-0.0002,0.01779,86.3
APOLLOHOSP,Sideways 🟡,1,0.00078,0.01276,96.0
ASIANPAINT,Sideways 🟡,0,-0.00038,0.0135,81.9
BAJAJ-AUTO,Sideways 🟡,0,0.0006,0.01281,74.7
BAJFINANCE,Volatile ⚡,2,-0.006,0.12636,91.7
BHARTIARTL,Sideways 🟡,1,0.0005,0.01307,76.8
CIPLA,Sideways 🟡,3,0.00024,0.01074,37.7
DIVISLAB,Sideways 🟡,1,0.00035,0.01477,44.7
DRREDDY,Volatile ⚡,2,-0.0077,0.11396,53.6
EICHERMOT,Sideways 🟡,2,0.00148,0.01421,84.6
GRASIM,Sideways 🟡,0,0.00052,0.01353,100.0
ICICIBANK,Sideways 🟡,2,0.0004,0.01134,98.7
INDUSINDBK,Sideways 🟡,0,-0.00061,0.01358,60.4
JSWSTEEL,Sideways 🟡,0,0.00057,0.0156,100.0
NESTLEIND,Sideways 🟡,0,0.00034,0.01043,53.4
SUNPHARMA,Sideways 🟡,0,0.00041,0.013,98.7
TATASTEEL,Sideways 🟡,0,-9e-05,0.01699,97.0
TITAN,Sideways 🟡,0,0.00053,0.01386,100.0
ULTRACEMCO,Sideways 🟡,1,0.00048,0.01159,62.8
