symbol,slope_correlation,slope_corr_pvalue,direction_agree_pct,n_valid_windows,current_actual_trend,current_pred_trend,trend_match
ADANIENT,0.2433,0.0,46.9,352,UP ↑,UP ↑,✅
ADANIPORTS,0.0642,0.2296,47.7,352,DOWN ↓,UP ↑,❌
APOLLOHOSP,0.0115,0.8301,36.1,352,UP ↑,DOWN ↓,❌
ASIANPAINT,0.1888,0.0004,56.2,352,DOWN ↓,DOWN ↓,✅
BAJAJ-AUTO,0.1241,0.0198,51.1,352,UP ↑,DOWN ↓,❌
BAJFINANCE,0.1189,0.0275,53.8,344,UP ↑,UP ↑,✅
BHARTIARTL,-0.1605,0.0025,46.3,352,DOWN ↓,DOWN ↓,✅
CIPLA,0.0828,0.121,42.3,352,UP ↑,UP ↑,✅
DIVISLAB,-0.2197,0.0,0.9,352,DOWN ↓,DOWN ↓,✅
DRREDDY,-0.1973,0.0002,49.7,352,DOWN ↓,DOWN ↓,✅
EICHERMOT,-0.0101,0.8507,45.2,352,UP ↑,DOWN ↓,❌
GRASIM,0.0849,0.1118,50.0,352,DOWN ↓,DOWN ↓,✅
ICICIBANK,0.387,0.0,63.4,352,DOWN ↓,DOWN ↓,✅
INDUSINDBK,0.1111,0.0373,40.1,352,DOWN ↓,UP ↑,❌
JSWSTEEL,0.1146,0.0316,60.8,352,UP ↑,DOWN ↓,❌
NESTLEIND,0.0651,0.2228,39.8,352,UP ↑,UP ↑,✅
SUNPHARMA,-0.0647,0.2257,7.4,352,DOWN ↓,UP ↑,❌
TATASTEEL,-0.0771,0.1491,46.9,352,UP ↑,UP ↑,✅
TITAN,-0.4586,0.0,38.1,352,UP ↑,UP ↑,✅
ULTRACEMCO,0.1371,0.01,34.7,352,UP ↑,DOWN ↓,❌
